Model,Incentive,Base_Pur_Cost,Year_Pur_Cost,Own_Cost,Prob
Nissan Versa,0,14788,14788,10612.17327,0.329014763
Kia Soul,0,16526,16526,15300.06535,0.243985982
Honda Fit,0,19521,19521,16227.79155,0.184266028
Hyundai Accent,0,13842,13842,14631.35518,0.122643155
Fiat 500,0,14300,14300,18582.95305,0.120090072
Honda Civic,0,18568,18568,16537.97002,0.379746305
Toyota Corolla,0,17530,17530,15434.78771,0.276807947
Chevrolet Cruze,0,17959,17959,19385.95701,0.080007759
Nissan Sentra,0,17464,17464,15978.41693,0.175162763
Hyundai Elantra,0,19273,19273,14851.50321,0.088275227
Honda Accord,0,23137,23137,17682.78444,0.343689802
Toyota Camry,0,24387,24387,19449.20498,0.266045609
Nissan Altima,0,19050,19050,18101.28948,0.147650734
Ford Fusion,0,20727,20727,19300.69144,0.134757404
Hyundai Sonata,0,20317,20317,16906.25108,0.10785645
Dodge Charger ,0,27129,27129,26458.67269,0.322612233
Toyota Avalon,0,29580,29580,23114.14589,0.209927689
Chevrolet Impala,0,28784,28784,23595.85339,0.191661645
Nissan Maxima,0,35022,35022,24525.72047,0.143642663
Chrysler 300,0,27084,27084,34988.14348,0.13215577
Mercedes-Benz C-Class ,0,37405,37405,32777.75804,0.271142502
BMW 3-Series,0,38449,38449,28058.67862,0.260429066
Lexus IS ,0,35547,35547,31604.15257,0.156310346
Lexus ES ,0,38099,38099,29467.072,0.166666667
BMW 4 series,0,42021,42021,36482.40565,0.145451419
Mercedes-Benz E-Class & CLS-Class,0,50186,50186,57744.20479,0.378306621
BMW 5-Series ,0,51240,51240,43049.24143,0.341622147
Mercedes-Benz S-Class,0,89577,89577,76305.27056,0.152986887
Lexus GS,0,48618,48618,37362.363,0.127084345
Ford Mustang ,0,22567,22567,19158.42801,0.381764615
Chevrolet Camaro ,0,25531,25531,22366.38546,0.251486019
Dodge Challenger ,0,28622,28622,23820.91571,0.231948106
Hyundai Veloster,0,16436,16436,17969.6878,0.08916111
Marzda-MX5,0,29497,29497,18931.6534,0.045640151
Toyota RAV4,0,23233,23233,17280.06358,0.27503166
Honda CR-V,0,26470,26470,17831.05148,0.283531549
Nissan Rogue,0,22181,22181,18106.35546,0.19602742
Subaru Forester,0,25776,25776,17918.49841,0.125619425
Mazda CX-5,0,25926,25926,20179.38394,0.119789946
Ford Explorer,0,30614,30614,23552.01628,0.252639098
Toyota Highlander,0,38546,38546,21940.84405,0.228375156
Subaru Outback,0,31828,31828,19025.40269,0.204835982
Jeep Grand Cherokee,0,34368,34368,19273.79633,0.159228176
Honda Pilot,0,35002,35002,21283.05061,0.154921589
Lexus NX,0,33662,33662,28222.5738,0.255896537
Mercedes GLC/GLK-Class,0,38745,38745,32126.3316,0.222599737
Audi Q5,0,44238,44238,30036.73579,0.203419553
Acura RDX,0,37841,37841,23945.30564,0.164883823
BMW X3,0,41055,41055,33622.77849,0.153200351
Lexus RX,0,42136,42136,32684.60718,0.379890595
Mercedes GLE/M-Class,0,49807,49807,40170.64061,0.188279609
BMW X5,0,53925,53925,45864.59232,0.175749087
Acura MDX,0,46404,46404,27352.05547,0.160833601
Mercedes GLS/GL Class,0,64810,64810,53834.57235,0.095247109
Toyota Prius C,0,20085,20085,15745.52466,1
Ford C-Max hybrid,0,24135,24135,25116.43104,0.063360027
Toyota Prius,0,28360,28360,19080.92273,0.750193792
Toyota prius V,0,24174,24174,19612.72208,0.186446181
Ford fusion hybrid,0,25511,25511,22603.55888,0.380848896
Honda Accord hybrid,0,31656,31656,22126.07332,0.103893605
Toyota camry hybrid,0,27880.353,27880.353,21122.94975,0.251578947
Hyundai sonota hybrid,0,23203,23203,21806.36325,0.214612337
Chevrolet Malibu Hybrid,0,29009.5125,29009.5125,27203.6927,0.049066214
Toyota Avalon hybrid,0,38818.11,38818.11,24729.22293,1
Lexus CT200h hybrid,0,32521.875,32521.875,28541.59113,0.623231527
Lincoln MKZ hybrid,0,36601.419,36601.419,28791.89405,0.182985173
Lexus ES Hybrid,0,43522.074,43522.074,32963.68438,0.1937833
Toyota RAV4 hybrid,0,33119,33119,20483.56316,1
Toyota Highlander hybrid,0,37746.189,37746.189,31025.32415,1
Lexus NX Hybrid,0,36306,36306,33171.14047,0.249232658
Lexus RX 400 / 450 hybrid,0,56197.8,56197.8,38456.85865,0.750767342
Chevrolet volt,7500,29944,29944,29580.27059,0.756636897
Ford c-Max energi,4007,23775,23775,30186.82367,0.243363103
Toyota prius prime,4502,26621,26621,28021.44958,0.071023361
Ford fusion Energi,4007,26549,26549,30387.5385,0.781815908
Hyundai Sonata hybrid (plug in),4919,38261,38261,24417.32468,0.147160731
BMW i8,3793,149339.4093,149339.4093,97521.69234,1
Audi A3 e-tron,4502,40483.23,40483.23,32851.56795,0.829457364
BMW 330e,4001,45478.59,45478.59,32573.61361,0.170542636
Mercedes S550e Plug In,3000,99542.955,99542.955,31864.18711,1
BMW X5 eDrive,4668,65772.24,65772.24,52924.6396,0.592040292
Porsche Cayenne Hybrid,5335,83151.93,83151.93,61426.89457,0.208473237
Volvo XC90 Hybrid,5002,70559.46,70559.46,55306.20274,0.19948647
Fiat 500e,7500,31644,31644,34270.16837,0.418267683
Chevrolet Spark EV,7500,26142.384,26142.384,23584.71832,0.325748632
Smart Fortwo,7500,24768.66,24768.66,22890.96053,0.070516261
Kia Soul EV,7500,29844,29844,27332.0615,0.185467425
Chevrolet Bolt,7500,34362,34362,35199.33071,0.029854594
Nissan leaf,7500,28838,28838,31019.23964,0.722182118
Volkswangen e-golf,7500,28892,28892,30903.29534,0.203000928
Ford Focus Electric,7500,30305.184,30305.184,30387.5385,0.044962359
BMW i3 (Luxury),7500,45817,45817,36200.63443,0.930313993
Mercedes B-class EV,7500,41523.93,41523.93,34943.42765,0.069686007
Tesla S,7500,70767.6,70767.6,56560.67972,1
Tesla X,7500,82735.65,82735.65,62343.83091,1
